Nº País Índice_de_corrupção Renda_anual_($)
1 Dinamarca 10 73340.00
2 Finlândia 12 53230.00
3 Cingapura 16 70590.00
4 Nova_Zelândia 17 48220.00
5 Luxemburgo 19 83980.00
6 Noruega 19 102910.00
7 Suíça 19 95070.00
8 Suécia 20 60480.00
9 Países_Baixos 22 62540.00
10 Austrália 23 63150.00
11 Irlanda 23 78970.00
12 Islândia 23 80400.00
13 Estônia 24 27620.00
14 Uruguai 24 19700.00
15 Alemanha 25 54800.00
16 Canadá 25 54040.00
17 Hong_Kong 26 55170.00
18 Japão 29 39350.00
19 Reino_Unido 29 47700.00
20 Bélgica 31 54580.00
21 Emirados_Árabes 32 49020.00
22 França 33 45180.00
23 Taiwan 33 33365.00
24 USA 35 80450.00
25 Coréia_do_Sul 36 35490.00
26 Israel 36 54650.00
27 Chile 37 15800.00
28 Cabo_Verde 38 4780.00
29 Arábia_Saudita 41 31860.00
30 Portugal 43 26150.00
31 Espanha 44 32830.00
32 Itália 46 37920.00
33 Polônia 47 19900.00
34 Grécia 51 22590.00
35 Montenegro 54 11590.00
36 Jamaica 56 6200.00
37 Timor_Leste 56 2020.00
38 China 57 13390.00
39 África_do_Sul 59 6480.00
40 Cuba 59 9010.00
41 Vietnã 60 4110.00
42 Colômbia 61 6810.00
43 Índia 62 2540.00
44 Argentina 63 12890.00
45 Marrocos 63 3760.00
46 Ucrânia 65 4950.00
47 Brasil 66 9280.00
48 Tailândia 66 7200.00
49 Turquia 66 11730.00
50 Filipinas 67 4320.00
51 Angola 68 2120.00
52 Equador 68 6590.00
53 Peru 69 7090.00
54 Egito 70 3840.00
55 El_Salvador 70 4960.00
56 Bolívia 72 3620.00
57 Paquistão 73 1460.00
58 México 74 11980.00
59 Nigéria 74 1880.00
60 Moçambique 75 540.00
61 Paraguai 76 6220.00
62 Centráfrica 76 530.00
63 Bangladesh 77 2880.00
64 Irã 77 4650.00
65 República_do_Congo 77 2450.00
66 Azerbaijão 78 6660.00
67 Honduras 78 2890.00
68 Líbano 78 3740.00
69 Rússia 78 14250.00
70 Camboja 79 2390.00
71 Chade 79 670.00
72 Comores 79 1610.00
73 Guiné-Bissau 79 940.00
74 Zimbábue 79 2060.00
75 Congo_(dem._rep.) 80 630.00
76 Tajiquistão 81 1400.00
77 Afeganistão 83 380.00
78 Burundi 83 220.00
79 Turcomenistão 83 8250.00
80 Haiti 84 1760.00
81 Mianmar 84 1230.00
82 Coréia_do_Norte 85 NA
83 Sudão 85 880.00
84 Nicarágua 86 2350.00
85 Eritreia 87 600.00
86 Guiné_Equatorial 87 4840.00
87 Iêmen 87 670.00
88 Líbia 87 5940.00
89 Síria 88 710.00
90 Venezuela 90 13080.00
91 Somália 91 590.00
92 Sudão_do_Sul 92 460.00
